link_id,from,to,status,n_tracks,passenger_lines_mode,osm_min_m,osm_max_m,beeline_m,ratio,eq_speed_kmh,untagged_pct,gtfs_min_s,gtfs_trips,implied_kmh,gtfs_routes,osm_way_ids
S00023_S01748,S00023,S01748,ok,21,1,6107.2,6684.8,6049.6,1.0095,,3.5,360,18,61.1,R27,58767269 58767273 58767276 58767296 58767317 58767319 58767331 58767356 58767360 58767364 59452962 190097294 191273369 191273382 542336266 758692403 900917876 908558948 984939486 1056868558 1056868559 1230667896 1230667897 1230675678 1230675679 1241139695 1241139696 1293290426 1425204552 1444290831 1444290832
S00030_S00031,S00030,S00031,ok,2,2,3831.2,3832.2,3828.0,1.0008,,100.0,180,4,76.6,R25,449115953
S00030_S00248,S00030,S00248,ok,2,2,8196.1,8198.0,7978.9,1.0272,,91.1,420,5,70.3,R25,33237608 191503847 984389153 986388513 1085919020 1293290414
S00031_S00030,S00031,S00030,ok,2,2,3831.2,3832.2,3828.0,1.0008,,100.0,180,5,76.6,R25,449115953
S00031_S00032,S00031,S00032,ok,2,2,4382.6,4383.2,4378.7,1.0009,,100.0,240,4,65.7,R25,449115953
S00032_S00031,S00032,S00031,ok,2,2,4382.6,4383.2,4378.7,1.0009,,100.0,180,5,87.7,R25,449115953
S00032_S00033,S00032,S00033,ok,2,2,2474.6,2475.3,2472.2,1.001,,100.0,180,4,49.5,R25,33237608
S00033_S00032,S00033,S00032,ok,2,2,2474.6,2475.3,2472.2,1.001,,100.0,180,5,49.5,R25,33237608
S00033_S00034,S00033,S00034,ok,2,2,5341.7,5343.5,5276.4,1.0124,,100.0,360,4,53.4,R25,33237608 1255050231 1255050232 1374524597 1374524598 1374566005 1374566006 1374566015 1374566016 1374566019 1374566020 1374566025 1374566026 1374612175 1374612176 1374612183 1374612184 1374612187 1374612188 1374612191 1374612192 1374612197 1374612198 1374612200
S00034_S00033,S00034,S00033,ok,2,2,5341.7,5343.5,5276.4,1.0124,,100.0,240,5,80.1,R25,33237608 1255050231 1255050232 1374524597 1374524598 1374566005 1374566006 1374566015 1374566016 1374566019 1374566020 1374566025 1374566026 1374612175 1374612176 1374612183 1374612184 1374612187 1374612188 1374612191 1374612192 1374612197 1374612198 1374612200
S00034_S00036,S00034,S00036,ok,22,2,4661.5,5534.4,4726.9,0.9862,,37.2,240,6,69.9,R25|R31,439986910 440241658 521874374 984063338 986388514 1255050234 1259458592 1259539709 1280616557 1280616558
S00034_S00273,S00034,S00273,ok,22,1,5713.0,6171.3,5345.8,1.0687,,9.5,360,14,57.1,R36,33237610 326542846 380494239 380494240 380494241 380494242 380494243 380494244 439986918 997750167 1155250906 1235199685 1235199686 1259458556 1259458557 1352516813 1352516814 1352516815 1352516816 1352516820 1352516821 1352516822 1352516823 1352516828 1352516829 1352516830 1352516831 1352516833 1352516834 1352516835 1352516836 1352516839 1352516840 1352516841 1352516842 1352516845 1352516846 1385919685 1415271371 1415271372 1415445732 1415445733 1421933036 1421933037
S00034_S00274,S00034,S00274,ok,22,1,5999.1,6872.0,5616.5,1.0681,,4.4,420,14,51.4,R36,37959413 326827034 326827035 326992726 326992727 326992729 439986910 984063338 997750169 997750170 1235297927 1255050234 1256711387 1256711388 1256711389 1256711391 1256711392 1256711395 1256711397 1256711398 1256711400 1256711401 1256711409 1256711410 1256711411 1256711412 1256711413 1256711423 1256711424 1256711425 1256711426 1256714616 1256714617 1256714624 1256714625 1256714628 1256714629 1256714638 1428078094 1428078095 1434249147 1434249148
S00034_S01060,S00034,S01060,ok,22,1,5257.1,5573.8,4886.1,1.0759,,11.7,300,24,63.1,R31,208632680 326915950 439940597 439992818 984063337 1255050231 1255050232 1413939400
S00036_S00034,S00036,S00034,ok,22,2,4661.5,5534.4,4726.9,0.9862,,37.2,240,6,69.9,R25|R31,439986910 440241658 521874374 984063338 986388514 1255050234 1259458592 1259539709 1280616557 1280616558
S00036_S00037,S00036,S00037,ok,2,2,7159.3,7159.5,7159.3,1.0,135.0,0.0,300,6,85.9,R25|R31,440243743 521874373 521874374 531774025 531774034 1093584003 1243057034 1243057035 1243057039 1243057046 1243057047 1243057052 1243057053 1250933007 1250933009 1250933010 1250933015 1250933016 1250933021 1250933022 1256336169 1256336170 1256343774 1256343775 1256343787 1256343792 1256343793 1256343795 1256343796 1256343798 1256343799 1256343804 1256343805 1256343812 1256343821 1256343822 1256343827 1256343828 1256343831 1256343832 1256343837 1256343838
S00037_S00036,S00037,S00036,ok,2,2,7159.3,7159.5,7159.3,1.0,135.0,0.0,300,6,85.9,R25|R31,440243743 521874373 521874374 531774025 531774034 1093584003 1243057034 1243057035 1243057039 1243057046 1243057047 1243057052 1243057053 1250933007 1250933009 1250933010 1250933015 1250933016 1250933021 1250933022 1256336169 1256336170 1256343774 1256343775 1256343787 1256343792 1256343793 1256343795 1256343796 1256343798 1256343799 1256343804 1256343805 1256343812 1256343821 1256343822 1256343827 1256343828 1256343831 1256343832 1256343837 1256343838
S00037_S00038,S00037,S00038,ok,2,2,4473.8,4474.3,4474.4,0.9999,135.0,0.0,180,6,89.5,R25|R31,51992474 277120243 418095873 418095876 1256331976 1256331991 1256331996 1256331997 1256332008 1256332009 1256332012 1256332013 1256332018 1256332019 1256332022 1256332023 1256332024 1256332025 1256332030 1256332031 1256336139 1256336140 1256336143 1256336144 1256336151 1256336152 1256336155 1256336156 1256336159 1256336160 1256336165 1256336166 1306396965
