stop_id,nome,linee,ruolo,tratte_binario_unico,tratte_doppio_binario,binari_modello,binari_reali_Fabio,note
S01111,Colmegna,,intermedia,2,0,2,,
S05410,Gerra,,intermedia,2,0,2,,
S05406,Magadino-Vira,,intermedia,2,0,2,,
S01110,Pino-Tronzano,,intermedia,2,0,2,,
S05405,Quartino,,intermedia,2,0,2,,
S05408,Ranzo-S. Abbondio,,bivio,3,0,2,,
S05407,S.Nazzaro,,bivio,3,0,2,,
S01714,Rovato,"R1,R4,R5,RE6",bivio,1,4,2,,
S01534,Albano S.Alessandro,"R1,R5",intermedia,2,0,2,,
S01536,Chiuduno,"R1,R5",intermedia,2,0,2,,
S01540,Coccaglio,"R1,R5",intermedia,2,0,2,,
S01539,Cologne,"R1,R5",intermedia,2,0,2,,
S01537,Grumello Del Monte,"R1,R5",intermedia,2,0,2,,
S01535,Montello Gorlago,"R1,R5",bivio,4,0,2,,
S01538,Palazzolo Sull'Oglio,"R1,R5",bivio,4,0,2,,
S01533,Seriate,"R1,R5",fine doppio binario,1,1,2,,
S01400,Chiavenna,R11,intermedia,2,0,2,,
S01405,Dubino,R11,intermedia,2,0,2,,
S01403,Novate-Mezzola,R11,bivio,3,0,2,,
S01417,Prata Camportaccio,R11,intermedia,2,0,2,,
S01401,S.Cassiano Valchiavenna,R11,intermedia,2,0,2,,
S01402,Samolaco,R11,intermedia,2,0,2,,
S01404,Verceia,R11,intermedia,2,0,2,,
S01430,Sondrio,"R12,R13,RE8",bivio,4,0,2,,
S01438,Bianzone,"R12,RE8",bivio,3,0,2,,
S01435,Chiuro,"R12,RE8",intermedia,2,0,2,,
S01433,Poggiridenti-Tresivio-Piateda,"R12,RE8",intermedia,2,0,2,,
S01434,Ponte In Valtellina,"R12,RE8",bivio,3,0,2,,
S01436,S.Giacomo Di Teglio,"R12,RE8",intermedia,2,0,2,,
S01440,Tirano,"R12,RE8",intermedia,2,0,2,,
S01437,Tresenda-Aprica-Teglio,"R12,RE8",bivio,4,0,2,,
S01439,Villa Di Tirano,"R12,RE8",intermedia,2,0,2,,
S01416,Abbadia Lariana,"R13,RE8",intermedia,2,0,2,,
S01427,Ardenno Masino,"R13,RE8",intermedia,2,0,2,,
S01409,Bellano Tartavalle Terme,"R13,RE8",bivio,3,0,2,,
S01429,Castione Andevenno,"R13,RE8",intermedia,2,0,2,,
S01424,Cosio Traona,"R13,RE8",intermedia,2,0,2,,
S01422,Delebio,"R13,RE8",intermedia,2,0,2,,
S01408,Dervio,"R13,RE8",intermedia,2,0,2,,
S01407,Dorio,"R13,RE8",intermedia,2,0,2,,
S01412,Fiumelatte,"R13,RE8",intermedia,2,0,2,,
S01413,Lierna,"R13,RE8",bivio,3,0,2,,
S01415,Mandello Del Lario,"R13,RE8",bivio,5,0,2,,
S01414,Olcio,"R13,RE8",intermedia,2,0,2,,
S01406,Piona,"R13,RE8",intermedia,2,0,2,,
S01428,S.Pietro Berbenno,"R13,RE8",intermedia,2,0,2,,
S01426,Talamona,"R13,RE8",intermedia,2,0,2,,
S01411,Varenna Esino,"R13,RE8",bivio,3,0,2,,
S01503,Calusco,R14,intermedia,2,0,2,,
S01502,Paderno Robbiate,R14,intermedia,2,0,2,,
S01504,Terno,R14,intermedia,2,0,2,,
S01528,Ponte S.Pietro,"R14,R7",intermedia,2,0,2,,
S01511,Carnate Usmate,"R14,RE8,S8",bivio,1,4,2,,
S01092,Arosio,R16,intermedia,2,0,2,,
S01101,Asso,R16,capolinea binario unico,1,0,2,,
S01088,Cabiate,R16,intermedia,2,0,2,,
S01099,Canzo,R16,bivio,3,0,2,,
S01091,Carugo-Giussano,R16,intermedia,2,0,2,,
S01098,Caslino D'Erba,R16,intermedia,2,0,2,,
S01096,Erba,R16,intermedia,2,0,2,,
S01093,Inverigo,R16,bivio,3,0,2,,
S01094,Lambrugo-Lurago D'Erba,R16,intermedia,2,0,2,,
S01089,Mariano Comense,R16,bivio,3,0,2,,
S01097,Pontelambro-Castelmarte,R16,bivio,3,0,2,,
S01454,Merone,"R16,R18",bivio,5,0,2,,
S01087,Meda,"R16,S2",bivio,3,0,2,,
S01925,Seveso,"R16,S2,S4",bivio,1,2,2,,
S01086,Cesano Maderno,"R16,S2,S4,S9",bivio,1,4,2,,
S01764,Como Borghi,"R17,RE7",intermedia,2,0,2,,
S01763,Como Camerlata Fnm,"R17,RE7",fine doppio binario,1,1,2,,
S01765,Como Lago,"R17,RE7",capolinea binario unico,1,0,2,,
S01450,Albate-Trecallo,R18,intermedia,2,0,2,,
S01453,Anzano Del Parco,R18,intermedia,2,0,2,,
S01452,Brenna-Alzate,R18,intermedia,2,0,2,,
S01451,Cantu',R18,bivio,3,0,2,,
S01457,Casletto-Rogeno,R18,intermedia,2,0,2,,
S01456,Moiana,R18,intermedia,2,0,2,,
S09998,Como Camerlata,"R18,RE80,S11",bivio,2,3,2,,
S01462,Civate,"R18,S7",intermedia,2,0,2,,
S01458,Molteno,"R18,S7",bivio,5,0,2,,
S01460,Oggiono,"R18,S7",bivio,3,0,2,,
S01461,Sala Al Barro-Galbiate,"R18,S7",bivio,3,0,2,,
S01463,Valmadrera,"R18,S7",bivio,3,0,2,,
S01145,Besnate,R21,intermedia,2,0,2,,
S01141,Besozzo,R21,bivio,3,0,2,,
S01117,Calde',R21,intermedia,2,0,2,,
S01118,Laveno Mombello,R21,bivio,3,1,2,,
S01113,Luino,R21,bivio,3,0,2,,
S01144,Mornago Cimbro,R21,bivio,3,0,2,,
S01116,Porto Valtravaglia,R21,bivio,3,0,2,,
S01140,Sangiano,R21,fine doppio binario,1,1,2,,
S01143,Ternate Varano Borghi,R21,bivio,3,0,2,,
S01142,Travedona Biandronno,R21,intermedia,2,0,2,,
S01030,Gallarate,"R21,R23,RE4,RE5,RE51,S5",bivio,1,9,2,,
S01741,Barasso-Comerio,"R22,RE1",intermedia,2,0,2,,
S01746,Cittiglio,"R22,RE1",intermedia,2,0,2,,
