trip_id,route_id,trip_short_name,service_id
1001A-2c54408d,TN_Bus,1001A,1001A-2c54408d
1005A-11d2cc80,TN_Bus,1005A,1005A-11d2cc80
1006A-20b8ba95,TN_Bus,1006A,1006A-20b8ba95
1007A-b9e47635,TN_Bus,1007A,1007A-b9e47635
1009A-2ca9725c,TN_Bus,1009A,1009A-2ca9725c
1011A-687ae6d1,TN_Bus,1011A,1011A-687ae6d1
1012A-b7f9cd8c,TN_Bus,1012A,1012A-b7f9cd8c
1013A-e17d7508,TN_Bus,1013A,1013A-e17d7508
1017A-e5eb2db8,TN_Bus,1017A,1017A-e5eb2db8
101A-49a99974,TN_Bus,101A,101A-49a99974
102153-865fdc4d,RE_11,RE_11 - 2153,102153-865fdc4d
102154-51c33d0a,RE_11,RE_11 - 2154,102154-51c33d0a
102154-74b1916a,RE_11,RE_11 - 2154,102154-74b1916a
102156-8200c234,RE_11,RE_11 - 2156,102156-8200c234
102157-3f2bf1b3,RE_11,RE_11 - 2157,102157-3f2bf1b3
102158-3405321f,RE_11,RE_11 - 2158,102158-3405321f
102158-06b63629,RE_11,RE_11 - 2158,102158-06b63629
102159-c87b1bfa,RE_11,RE_11 - 2159,102159-c87b1bfa
102159-7fc41e80,RE_11,RE_11 - 2159,102159-7fc41e80
102159-44c212f1,RE_11,RE_11 - 2159,102159-44c212f1
102159-2dcacd01,RE_11,RE_11 - 2159,102159-2dcacd01
102161-8ab65d88,RE_11,RE_11 - 2161,102161-8ab65d88
102161-1c6716a1,RE_11,RE_11 - 2161,102161-1c6716a1
102161-23a79df2,RE_11,RE_11 - 2161,102161-23a79df2
102161-8938916d,RE_11,RE_11 - 2161,102161-8938916d
102162-13ae6f29,RE_11,RE_11 - 2162,102162-13ae6f29
102162-25eb8ecd,RE_11,RE_11 - 2162,102162-25eb8ecd
102162-86c6827e,RE_11,RE_11 - 2162,102162-86c6827e
102162-23b68601,RE_11,RE_11 - 2162,102162-23b68601
102165-80c4d496,RE_11,RE_11 - 2165,102165-80c4d496
102166-ab2cd120,RE_11,RE_11 - 2166,102166-ab2cd120
102166-5d679eec,RE_11,RE_11 - 2166,102166-5d679eec
102166-bf5195eb,RE_11,RE_11 - 2166,102166-bf5195eb
102166-b1cf2d7a,RE_11,RE_11 - 2166,102166-b1cf2d7a
102166-b0e09715,RE_11,RE_11 - 2166,102166-b0e09715
102167-f915094d,RE_11,RE_11 - 2167,102167-f915094d
102168-dd6c99eb,RE_11,RE_11 - 2168,102168-dd6c99eb
102169-806fabeb,RE_11,RE_11 - 2169,102169-806fabeb
102170-03f96b23,RE_11,RE_11 - 2170,102170-03f96b23
102170-07f1c5dc,RE_11,RE_11 - 2170,102170-07f1c5dc
102173-621a9c82,RE_11,RE_11 - 2173,102173-621a9c82
102174-b2a76ee1,RE_11,RE_11 - 2174,102174-b2a76ee1
102174-2b1005db,RE_11,RE_11 - 2174,102174-2b1005db
102175-9ef669e2,RE_11,RE_11 - 2175,102175-9ef669e2
102176-1661c70f,RE_11,RE_11 - 2176,102176-1661c70f
102177-fcabd64d,RE_11,RE_11 - 2177,102177-fcabd64d
102178-39c8aa5b,RE_11,RE_11 - 2178,102178-39c8aa5b
102178-248799da,RE_11,RE_11 - 2178,102178-248799da
102179-1f69722d,RE_11,RE_11 - 2179,102179-1f69722d
102180-55a2b60f,RE_11,RE_11 - 2180,102180-55a2b60f
102181-cf8e1f93,RE_11,RE_11 - 2181,102181-cf8e1f93
102182-1c522a70,RE_11,RE_11 - 2182,102182-1c522a70
102185-00071bef,RE_11,RE_11 - 2185,102185-00071bef
102186-931a777f,RE_11,RE_11 - 2186,102186-931a777f
102201-8a108ecf,RE_2,RE_2 - 2201,102201-8a108ecf
102201-93a73d85,RE_2,RE_2 - 2201,102201-93a73d85
102206-cd48588b,RE_2,RE_2 - 2206,102206-cd48588b
102211-41cd7e0e,RE_2,RE_2 - 2211,102211-41cd7e0e
102211-149ff1b2,RE_2,RE_2 - 2211,102211-149ff1b2
102211-d1405cc7,RE_2,RE_2 - 2211,102211-d1405cc7
